id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 bao gồm các thời gian sau: phản hồi ban đầu trong vòng 15 phút kể từ khi ticket được tạo, xử lý và khắc phục trong vòng 4 giờ. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Thông báo cho stakeholder sẽ được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi resolve [1]. 

Sources: [1]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is fully supported by the retrieved context regarding the SLA for ticket P1.,5,The answer directly and completely addresses the question by providing specific timeframes for the SLA of P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the initial response time and resolution time, while also providing additional relevant details.",variant2_nuanced_abstain
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2]. 

Sources: [1], [2]",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved context regarding the timeframe for requesting a refund.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,variant2_nuanced_abstain
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3 (Elevated Access), yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security [1]. 

Sources: [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the retrieved context.,5,The answer directly and completely addresses the question by specifying who must approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,variant2_nuanced_abstain
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền. Điều này có nghĩa là nếu bạn đã mua sản phẩm kỹ thuật số, bạn sẽ không thể yêu cầu hoàn tiền cho sản phẩm đó. 

Sources: [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer accurately reflects the retrieved context regarding the non-refundable status of digital products.,5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer regarding the non-refundable nature of digital products.,variant2_nuanced_abstain
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO. 

Sources: [1]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved context regarding account lockout and unlocking procedures.,5,The answer directly and completely addresses the question by providing the specific number of failed login attempts that lead to account lockout and options for unlocking.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer and provides additional relevant information.,variant2_nuanced_abstain
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, quy trình escalation diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Ngoài ra, engineer phải cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, họ có thể escalate ngay lập tức [2][3]. 

Sources: [2], [3]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is fully supported by the retrieved context regarding the escalation process for incident P1.,5,"The answer clearly outlines the escalation process for a P1 incident, providing specific timeframes and actions involved.",5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer and provides additional relevant information.,variant2_nuanced_abstain
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""it/access-control-sop.md"". Tài liệu này quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty. 

Sources: [1], [2]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"The answer correctly identifies the purpose of the document and its content, but it inaccurately names the document as 'it/access-control-sop.md' instead of its previous name.",5,The answer directly identifies the document related to the Approval Matrix and explains its purpose clearly.,5,Retrieved: 1/1 expected sources,4,"The model answer provides the new name of the document and its purpose, but it does not explicitly mention the original name 'Approval Matrix for System Access'.",variant2_nuanced_abstain
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Lịch remote phải được Team Lead phê duyệt qua HR Portal. 

Sources: [1]","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the maximum number of remote days allowed per week and the approval process.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifying the maximum remote days and the requirement for Team Lead approval.",variant2_nuanced_abstain
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Không đủ dữ liệu để trả lời câu hỏi này. Bạn có thể kiểm tra tài liệu hướng dẫn sử dụng hoặc liên hệ với bộ phận hỗ trợ kỹ thuật để biết thêm thông tin. 

Sources:","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Correct abstain — no source exists for this question,5,Correct abstain — no source exists for this question,,No expected sources,3,"The model answer acknowledges a lack of information and suggests contacting support, but it does not explicitly mention the authentication aspect or the specific error code.",variant2_nuanced_abstain
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Quy trình hoàn tiền cho khách hàng VIP không được ghi nhận trong tài liệu. Theo quy trình chung, khách hàng cần gửi yêu cầu qua hệ thống ticket nội bộ với category ""Refund Request"", và CS Agent sẽ xem xét trong vòng 1 ngày làm việc. Nếu đủ điều kiện, yêu cầu sẽ được chuyển sang Finance Team để xử lý trong 3-5 ngày làm việc [2]. Không có quy trình đặc biệt nào được ghi nhận cho khách hàng VIP. 

Sources: [2]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer accurately reflects the refund process and conditions outlined in the retrieved context, with no fabricated information.",5,The answer directly addresses the question by explaining that there is no special refund process for VIP customers and outlines the general procedure.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the lack of a special process for VIP customers and the standard refund timeline.",variant2_nuanced_abstain
